rm -f ibdata_sendrecv_unidirectional.x bind.o
gcc -c ../../bind.c 
mpicc -O3  -o ibdata_sendrecv_unidirectional.x ibdata_sendrecv_unidirectional.c bind.o  -DMAX_SIZE= -DNITER=10000  -DLOGSIZE= -DSLEEPCNT= -DBARRIERCNT= -DMIN_WRK_SIZE="1" -DMAX_WRK_SIZE="1048576" -DMAX_MSG_NUM="1048576" -DMIN_MSG_NUM="1" -DSLEEP_LIMIT="10"
my pid is 6414
my pid is 62906
#MessageSize	Msg_cnt	Xmit-PE0	Xmit-PE1	On-fly
1	1	6	6	12

2	1	6	6	12
2	2	7	7	14

4	1	7	7	14
4	2	8	8	16
4	4	10	10	20

8	1	6	6	12
8	2	7	7	14
8	4	10	10	20
8	8	14	14	28

16	1	6	6	12
16	2	7	7	14
16	4	10	10	20
16	8	14	14	28
16	16	22	21	43

32	1	6	6	12
32	2	7	7	14
32	4	10	10	20
32	8	14	14	28
32	16	22	21	43
32	32	38	28	66

64	1	6	6	12
64	2	7	7	14
64	4	10	10	20
64	8	14	14	28
64	16	22	22	44
64	32	38	24	62
64	64	71	51	122

128	1	6	6	12
128	2	7	7	14
128	4	10	10	20
128	8	14	14	28
128	16	22	21	43
128	32	38	25	63
128	64	71	40	111
128	128	135	95	230

256	1	6	6	12
256	2	7	7	14
256	4	10	10	20
256	8	14	14	28
256	16	22	21	43
256	32	38	24	62
256	64	70	34	104
256	128	135	65	200
256	256	265	215	480

512	1	6	6	12
512	2	7	7	14
512	4	10	10	20
512	8	14	14	28
512	16	22	21	43
512	32	38	26	64
512	64	70	36	106
512	128	134	62	196
512	256	265	163	428
512	512	523	376	899

1024	1	6	6	12
1024	2	7	7	14
1024	4	10	10	20
1024	8	14	14	28
1024	16	22	21	43
1024	32	38	25	63
1024	64	70	35	105
1024	128	135	107	242
1024	256	265	162	427
1024	512	523	368	891
1024	1024	1042	659	1701

2048	1	7	6	13
2048	2	7	7	14
2048	4	10	10	20
2048	8	14	14	28
2048	16	24	24	48
2048	32	38	28	66
2048	64	70	39	109
2048	128	134	84	218
2048	256	265	150	415
2048	512	523	377	900
2048	1024	1043	612	1655
2048	2048	2082	1269	3351

4096	1	8	6	14
4096	2	9	7	16
4096	4	10	10	20
4096	8	14	14	28
4096	16	22	22	44
4096	32	39	38	77
4096	64	70	45	115
4096	128	135	85	220
4096	256	265	221	486
4096	512	523	339	862
4096	1024	1041	691	1732
4096	2048	2079	1374	3453
4096	4096	4152	2679	6831

8192	1	10	6	16
8192	2	11	7	18
8192	4	14	10	24
8192	8	14	14	28
8192	16	22	22	44
8192	32	39	39	78
8192	64	73	73	146
8192	128	135	95	230
8192	256	265	206	471
8192	512	523	388	911
8192	1024	1041	670	1711
8192	2048	2078	1342	3420
8192	4096	4154	2561	6715
8192	8192	8300	5152	13452

16384	1	14	6	20
16384	2	15	7	22
16384	4	18	10	28
16384	8	22	14	36
16384	16	22	22	44
16384	32	39	39	78
16384	64	73	73	146
16384	128	139	136	275
16384	256	265	224	489
16384	512	522	387	909
16384	1024	1042	743	1785
16384	2048	2081	1383	3464
16384	4096	4150	2665	6815
16384	8192	8310	4984	13294
16384	16384	16621	9935	26556

32768	1	22	6	28
32768	2	23	7	30
32768	4	26	10	36
32768	8	30	14	44
32768	16	38	22	60
32768	32	38	38	76
32768	64	72	72	144
32768	128	140	140	280
32768	256	274	268	542
32768	512	523	430	953
32768	1024	1042	774	1816
32768	2048	2080	1356	3436
32768	4096	4159	2469	6628
32768	8192	8306	5117	13423
32768	16384	16612	10261	26873
32768	32768	33221	19755	52976

65536	1	38	6	44
65536	2	39	7	46
65536	4	42	10	52
65536	8	46	14	60
65536	16	55	23	78
65536	32	71	39	110
65536	64	72	72	144
65536	128	139	139	278
65536	256	274	274	548
65536	512	544	530	1074
65536	1024	1041	833	1874
65536	2048	2079	1557	3636
65536	4096	4151	2805	6956
65536	8192	8301	5179	13480
65536	16384	16607	10311	26918
65536	32768	33219	20069	53288
65536	65536	66425	40497	106922

131072	1	70	6	76
131072	2	71	7	78
131072	4	74	10	84
131072	8	78	14	92
131072	16	87	23	110
131072	32	103	39	142
131072	64	137	73	210
131072	128	139	139	278
131072	256	275	275	550
131072	512	543	540	1083
131072	1024	1082	1055	2137
131072	2048	2077	1618	3695
131072	4096	4151	2979	7130
131072	8192	8299	5477	13776
131072	16384	16609	10086	26695
131072	32768	33202	19998	53200
131072	65536	66369	40660	107029
131072	131072	132900	79798	212698

262144	1	134	6	140
262144	2	135	7	142
262144	4	138	10	148
262144	8	142	14	156
262144	16	152	24	176
262144	32	168	40	208
262144	64	202	73	275
