#MessageSize	Msg_cnt	Xmit-PE0	Xmit-PE1	On-fly
1	1	8	8	16

2	1	8	8	16
2	2	11	11	22

4	1	9	9	18
4	2	10	12	22
4	4	17	17	34

8	1	8	8	16
8	2	11	11	22
8	4	17	17	34
8	8	29	29	58

16	1	8	8	16
16	2	11	11	22
16	4	17	17	34
16	8	29	29	58
16	16	53	53	106

32	1	8	8	16
32	2	11	11	22
32	4	17	17	34
32	8	29	29	58
32	16	53	53	106
32	32	101	101	202

64	1	8	8	16
64	2	11	11	22
64	4	17	17	34
64	8	29	29	58
64	16	53	53	106
64	32	101	101	202
64	64	197	196	393

128	1	8	8	16
128	2	11	11	22
128	4	17	17	34
128	8	29	29	58
128	16	53	53	106
128	32	101	101	202
128	64	197	197	394
128	128	389	389	778

256	1	8	8	16
256	2	11	11	22
256	4	17	17	34
256	8	29	29	58
256	16	53	53	106
256	32	101	101	202
256	64	197	197	394
256	128	389	389	778
256	256	773	773	1546

512	1	8	8	16
512	2	11	11	22
512	4	17	17	34
512	8	29	29	58
512	16	53	53	106
512	32	101	101	202
512	64	197	197	394
512	128	389	389	778
512	256	773	773	1546
512	512	1541	1541	3082

1024	1	8	8	16
1024	2	11	11	22
1024	4	17	17	34
1024	8	29	29	58
1024	16	53	53	106
1024	32	101	101	202
1024	64	197	197	394
1024	128	389	389	778
1024	256	773	773	1546
1024	512	1541	1541	3082
1024	1024	3077	3077	6154

2048	1	8	8	16
2048	2	11	11	22
2048	4	17	17	34
2048	8	29	29	58
2048	16	53	53	106
2048	32	101	100	201
2048	64	197	197	394
2048	128	389	389	778
2048	256	773	773	1546
2048	512	1541	1541	3082
2048	1024	3077	3077	6154
2048	2048	6149	6149	12298

4096	1	9	8	17
4096	2	11	11	22
4096	4	17	17	34
4096	8	29	29	58
4096	16	53	53	106
4096	32	101	101	202
4096	64	197	197	394
4096	128	389	389	778
4096	256	773	773	1546
4096	512	1541	1541	3082
4096	1024	3077	3077	6154
4096	2048	6149	6149	12298
4096	4096	12293	12293	24586

8192	1	11	8	19
8192	2	13	11	24
8192	4	17	17	34
8192	8	29	29	58
8192	16	53	53	106
8192	32	101	101	202
8192	64	197	197	394
8192	128	389	389	778
8192	256	773	773	1546
8192	512	1541	1541	3082
8192	1024	3077	3077	6154
8192	2048	6149	6149	12298
8192	4096	12293	12293	24586
8192	8192	24581	24581	49162

16384	1	15	8	23
16384	2	17	11	28
16384	4	21	17	38
16384	8	29	29	58
16384	16	53	53	106
16384	32	101	101	202
16384	64	197	197	394
16384	128	389	389	778
16384	256	773	773	1546
16384	512	1541	1541	3082
16384	1024	3077	3077	6154
16384	2048	6149	6149	12298
16384	4096	12293	12293	24586
16384	8192	24581	24581	49162
16384	16384	49157	49157	98314

32768	1	23	8	31
32768	2	25	11	36
32768	4	29	17	46
32768	8	37	29	66
32768	16	53	53	106
32768	32	101	101	202
32768	64	197	197	394
32768	128	389	389	778
32768	256	773	773	1546
32768	512	1541	1541	3082
32768	1024	3077	3077	6154
32768	2048	6149	6149	12298
32768	4096	12293	12293	24586
32768	8192	24581	24581	49162
32768	16384	49157	49157	98314
32768	32768	98309	98309	196618

65536	1	39	8	47
65536	2	41	11	52
65536	4	45	17	62
65536	8	53	29	82
65536	16	69	53	122
65536	32	101	101	202
65536	64	197	197	394
65536	128	389	389	778
65536	256	773	773	1546
65536	512	1541	1541	3082
65536	1024	3077	3077	6154
65536	2048	6149	6149	12298
65536	4096	12293	12293	24586
65536	8192	24581	24581	49162
65536	16384	49157	49157	98314
65536	32768	98309	98309	196618
65536	65536	196613	196613	393226

131072	1	71	8	79
131072	2	73	11	84
131072	4	77	17	94
131072	8	85	29	114
131072	16	101	53	154
131072	32	133	101	234
131072	64	197	197	394
131072	128	389	389	778
131072	256	773	773	1546
131072	512	1541	1541	3082
131072	1024	3077	3077	6154
131072	2048	6149	6149	12298
131072	4096	12293	12293	24586
131072	8192	24581	24581	49162
131072	16384	49157	49157	98314
131072	32768	98309	98309	196618
131072	65536	196613	196613	393226
