FUNCTION;Process;Function;Invocations;Excl. Time (s);Incl. Time (s)
FUNCTION;Process 0(1);4096_1_100000;1;0.268820192;0.268820192
FUNCTION;Process 0(1);4096_2_100000;1;0.147470996;0.147470996
FUNCTION;Process 0(1);4096_4_100000;1;0.147258765;0.147258765
FUNCTION;Process 0(1);4096_8_100000;1;0.147201705;0.147201705
FUNCTION;Process 0(1);4096_16_100000;1;0.147620413;0.147620413
FUNCTION;Process 0(1);4096_32_100000;1;0.147196773;0.147196773
FUNCTION;Process 0(1);4096_64_100000;1;0.14838126;0.14838126
FUNCTION;Process 0(1);4096_128_100000;1;0.155392846;0.155392846
FUNCTION;Process 0(1);4096_256_100000;1;0.240057512;0.240057512
FUNCTION;Process 0(1);4096_512_100000;1;0.417710304;0.417710304
FUNCTION;Process 0(1);4096_1024_100000;1;0.739181782;0.739181782
FUNCTION;Process 0(1);4096_2048_100000;1;1.48611112;1.48611112
FUNCTION;Process 0(1);4096_4096_100000;1;2.90612218;2.90612218
FUNCTION;Process 0(1);8192_1_100000;1;0.279232588;0.279232588
FUNCTION;Process 0(1);8192_2_100000;1;0.279126527;0.279126527
FUNCTION;Process 0(1);8192_4_100000;1;0.278957101;0.278957101
FUNCTION;Process 0(1);8192_8_100000;1;0.279524648;0.279524648
FUNCTION;Process 0(1);8192_16_100000;1;0.279452363;0.279452363
FUNCTION;Process 0(1);8192_32_100000;1;0.279588354;0.279588354
FUNCTION;Process 0(1);8192_64_100000;1;0.280411774;0.280411774
FUNCTION;Process 0(1);8192_128_100000;1;0.280117805;0.280117805
FUNCTION;Process 0(1);8192_256_100000;1;0.284077056;0.284077056
FUNCTION;Process 0(1);8192_512_100000;1;0.441303949;0.441303949
FUNCTION;Process 0(1);8192_1024_100000;1;0.796732143;0.796732143
FUNCTION;Process 0(1);8192_2048_100000;1;1.43778824;1.43778824
FUNCTION;Process 0(1);8192_4096_100000;1;2.92979531;2.92979531
FUNCTION;Process 0(1);16384_1_100000;1;1.12936515;1.12936515
FUNCTION;Process 0(1);16384_2_100000;1;1.13239299;1.13239299
FUNCTION;Process 0(1);16384_4_100000;1;1.13909537;1.13909537
FUNCTION;Process 0(1);16384_8_100000;1;1.15305752;1.15305752
FUNCTION;Process 0(1);16384_16_100000;1;1.17647714;1.17647714
FUNCTION;Process 0(1);16384_32_100000;1;1.18641527;1.18641527
FUNCTION;Process 0(1);16384_64_100000;1;1.2084872;1.2084872
FUNCTION;Process 0(1);16384_128_100000;1;1.25348277;1.25348277
FUNCTION;Process 0(1);16384_256_100000;1;1.35315497;1.35315497
FUNCTION;Process 0(1);16384_512_100000;1;1.4031294;1.4031294
FUNCTION;Process 0(1);16384_1024_100000;1;1.77527099;1.77527099
FUNCTION;Process 0(1);16384_2048_100000;1;2.48486116;2.48486116
FUNCTION;Process 0(1);16384_4096_100000;1;3.76612252;3.76612252
FUNCTION;Process 0(1);32768_1_100000;1;1.76254554;1.76254554
FUNCTION;Process 0(1);32768_2_100000;1;1.73081656;1.73081656
FUNCTION;Process 0(1);32768_4_100000;1;1.73772033;1.73772033
FUNCTION;Process 0(1);32768_8_100000;1;1.75438731;1.75438731
FUNCTION;Process 0(1);32768_16_100000;1;1.77940242;1.77940242
FUNCTION;Process 0(1);32768_32_100000;1;1.81819597;1.81819597
FUNCTION;Process 0(1);32768_64_100000;1;1.84201788;1.84201788
FUNCTION;Process 0(1);32768_128_100000;1;1.88708653;1.88708653
FUNCTION;Process 0(1);32768_256_100000;1;1.97206528;1.97206528
FUNCTION;Process 0(1);32768_512_100000;1;2.17393736;2.17393736
FUNCTION;Process 0(1);32768_1024_100000;1;2.27549834;2.27549834
FUNCTION;Process 0(1);32768_2048_100000;1;3.02015375;3.02015375
FUNCTION;Process 0(1);32768_4096_100000;1;4.44127074;4.44127074
FUNCTION;Process 0(1);65536_1_100000;1;3.02219615;3.02219615
FUNCTION;Process 0(1);65536_2_100000;1;2.99674586;2.99674586
FUNCTION;Process 0(1);65536_4_100000;1;2.93717404;2.93717404
FUNCTION;Process 0(1);65536_8_100000;1;2.9480683;2.9480683
FUNCTION;Process 0(1);65536_16_100000;1;2.9764712;2.9764712
FUNCTION;Process 0(1);65536_32_100000;1;3.03567411;3.03567411
FUNCTION;Process 0(1);65536_64_100000;1;3.10245299;3.10245299
FUNCTION;Process 0(1);65536_128_100000;1;3.15706269;3.15706269
FUNCTION;Process 0(1);65536_256_100000;1;3.24209753;3.24209753
FUNCTION;Process 0(1);65536_512_100000;1;3.40738597;3.40738597
FUNCTION;Process 0(1);65536_1024_100000;1;3.81314915;3.81314915
FUNCTION;Process 0(1);65536_2048_100000;1;4.01836644;4.01836644
FUNCTION;Process 0(1);65536_4096_100000;1;5.50434174;5.50434174
FUNCTION;Process 0(1);131072_1_100000;1;5.64788292;5.64788292
