# 1     2     3     4     5     6     7     8     9     10     11     12     13     14     15     16     17     18     19
# message_size fragment iterations                timer   core_power  core_energy   dram_power  dram_energy    tot_power   tot_energy      totinst    cachemiss     floatinst        bw  bytesperfrag  fragperbyte  byteperwatt Normalized watt Normalized Energy        BW/Watt              0 Ratio BW / Watts
     1      1    600   0.0001312511936666 17.8744189000 0.0023460388 6.5214018100 0.0008559418 24.3958207100 0.0032019806 175514.478782 0.0333333333 2.3866666656 7618.9783274670     1.000000 1.0000000000 0.0409906275 1.000000000000 1.000000000000 312.306702776500 1.000000000000 1.000000000000 

     2      1    600   0.0001306191111666 17.6947630000 0.0023112742 7.7410085500 0.0010111237 25.4357715500 0.0033223979 175515.331802 0.0083333333 2.3799999962 15311.6950661918     2.000000 0.5000000000 0.0786294214 1.000000000000 1.000000000000 601.974861902300 1.000000000000 1.000000000000 
     2      2    600   0.0002602847383333 17.7866475000 0.0046295929 7.6743956900 0.0019975281 25.4610431900 0.0066271210 350716.899141 0.0016666667 3.6850000015 7683.8926969239     1.000000 1.0000000000 0.0785513769 1.000993547215 1.994680113678 301.790175664900 0.501831617185 0.501333518663 

     4      1    600   0.0001307665201666 17.6938751000 0.0023137665 7.7369498500 0.0010117340 25.4308249500 0.0033255005 175959.905526 0.0016666667 2.4349999982 30588.8693444154     4.000000 0.2500000000 0.1572894315 1.000000000000 1.000000000000 1202.826467664900 1.000000000000 1.000000000000 
     4      2    600   0.0002609997366666 17.7114186000 0.0046226756 7.7532460400 0.0020235952 25.4646646400 0.0066462708 351216.310563 0.0133333333 3.7483333371 15325.6859607854     2.000000 0.5000000000 0.1570804114 1.001330656400 1.998577596955 601.841264255700 0.501021655564 0.500355853844 
     4      4    600   0.0005210182783333 17.8219430000 0.0092855581 7.7174256000 0.0040209198 25.5393686000 0.0133064779 700903.736145 0.0116666667 5.9716666798 7677.2738430515     1.000000 1.0000000000 0.1566209432 1.004268192251 4.001345939657 300.605467711100 0.250982596205 0.249915907067 

     8      1    600   0.0001305594865000 17.7316724000 0.0023150380 7.6504615500 0.0009988403 25.3821339500 0.0033138784 175731.583062 0.0050000000 2.4333333331 61274.7508010457     8.000000 0.1250000000 0.3151823253 1.000000000000 1.000000000000 2414.089805126300 1.000000000000 1.000000000000 
     8      2    600   0.0002611861616666 17.8527165000 0.0046628825 7.6976646400 0.0020105235 25.5503811400 0.0066734060 352732.705337 0.0000000000 3.7216666653 30629.4941085426     4.000000 0.2500000000 0.3131068752 1.006628567571 2.013775167444 1198.788148822900 0.499871377820 0.496579765291 
     8      4    600   0.0005217271816666 17.7924141000 0.0092827861 7.7319941100 0.0040339915 25.5244082100 0.0133167776 701660.952938 0.0133333333 5.9700000209 15333.6845023962     2.000000 0.5000000000 0.3134254841 1.005605291512 4.018487117823 600.745936056100 0.250244746848 0.248849870779 
     8      8    180   0.0010411014611111 17.7964401000 0.0185278998 7.7246503500 0.0080421448 25.5210904500 0.0265700446 1401636.583678 0.0222222222 10.2055555386 7684.1694098307     1.000000 1.0000000000 0.3134662296 1.005474579098 8.017809210743 301.090951614500 0.125405151540 0.124722349174 

    16      1    600   0.0001309782741666 17.7196353000 0.0023208873 7.7250239400 0.0010118103 25.4446592400 0.0033326976 176747.457199 0.0000000000 2.3916666655 122157.6639469881    16.000000 0.0625000000 0.6288156523 1.000000000000 1.000000000000 4800.915696876400 1.000000000000 1.000000000000 
    16      2    600   0.0002610049483333 17.8384139000 0.0046559143 7.7529937600 0.0020235697 25.5914076600 0.0066794840 350863.379589 0.0033333333 3.7349999945 61301.5197687677     8.000000 0.1250000000 0.6252098443 1.005767356466 2.004227484139 2395.394602094600 0.501822953943 0.498945358205 
    16      4    600   0.0005231525033333 17.8394122000 0.0093327332 7.7358175700 0.0040470123 25.5752297700 0.0133797455 706092.430963 0.0100000000 5.9933333262 30583.8161875456     4.000000 0.2500000000 0.6256053276 1.005131549562 4.014689380196 1195.837396675900 0.250363466354 0.249085272930 
    16      8    180   0.0010414896611111 17.8430385000 0.0185833401 7.6391561500 0.0079561021 25.4821946500 0.0265394423 1404223.992050 0.0222222222 10.2833333354 15362.6104967096     2.000000 0.5000000000 0.6278894035 1.001475178332 7.963351561393 602.876271361800 0.125760513097 0.125575267183 
    16     16    180   0.0020835218000000 17.8482796000 0.0371872796 7.7611793900 0.0161705865 25.6094589900 0.0533578661 2805817.406673 0.0277777777 18.6499999802 7679.3052993254     1.000000 1.0000000000 0.6247691529 1.006476791394 16.010413554519 299.862066681000 0.062863884681 0.062459348510 

    32      1    600   0.0001312826558333 17.6642171000 0.0023190053 7.7067258700 0.0010117594 25.3709429700 0.0033307648 176799.581416 0.0016666667 2.4300000015 243748.8775412415    32.000000 0.0312500000 1.2612854018 1.000000000000 1.000000000000 9607.403155234000 1.000000000000 1.000000000000 
    32      2    600   0.0002615301783333 17.8604471000 0.0046710459 7.7370344900 0.0020234680 25.5974815900 0.0066945139 351750.270106 0.0050000000 3.6799999790 122356.8163488133    16.000000 0.0625000000 1.2501229813 1.008929057949 2.009902943966 4780.033376276100 0.501978994049 0.497536462146 
    32      4    600   0.0005218702033333 17.9281272000 0.0093561554 7.7536558800 0.0040464020 25.6817830800 0.0134025574 700288.002566 0.0083333333 6.0083333484 61317.9288558897     8.000000 0.1250000000 1.2460194021 1.012251815408 4.023867870272 2387.604032978600 0.251561892199 0.248517106484 
    32      8    180   0.0010464360111111 17.8745403000 0.0187045627 7.7678198900 0.0081285265 25.6423601900 0.0268330891 1411558.317607 0.0166666666 10.3833333046 30579.9873668554     4.000000 0.2500000000 1.2479350482 1.010697955543 8.056134531438 1192.557437781400 0.125456936152 0.124129009526 
    32     16    180   0.0020840632222222 17.7829544000 0.0370608012 7.6970510800 0.0160411411 25.4800054800 0.0531019423 2806323.174968 0.0499999999 18.7222222209 15354.6205598690     2.000000 0.5000000000 1.2558867000 1.004298717242 15.942867756937 602.614492054200 0.062993605200 0.062723972577 
    32     32    180   0.0041663319222222 17.8576358000 0.0744008381 7.7315171400 0.0322120667 25.5891529400 0.1066129048 5607938.554496 0.1277777778 34.9222222115 7680.6170505330     1.000000 1.0000000000 1.2505298661 1.008600782803 32.008536173337 300.151281620800 0.031510368901 0.031241666116 

    64      1    600   0.0001326704236666 18.3215296000 0.0024307251 7.8210580700 0.0010376231 26.1425876700 0.0034683482 178586.610528 0.0033333333 2.4183333317 482398.3992154244    64.000000 0.0156250000 2.4481126661 1.000000000000 1.000000000000 18452.587988028500 1.000000000000 1.000000000000 
    64      2    600   0.0002624126883333 18.0275466000 0.0047306570 7.7608279200 0.0020365397 25.7883745200 0.0067671967 353678.084164 0.0033333333 3.7250000161 243890.6457095978    32.000000 0.0312500000 2.4817384263 0.986450723452 1.951129566753 9457.387301415600 0.505579301478 0.512523625821 
    64      4    600   0.0005229856583333 18.0584309000 0.0094443004 7.7130966200 0.0040338389 25.7715275200 0.0134781393 702539.845457 0.0300000001 5.9983333309 122374.2926411428    16.000000 0.0625000000 2.4833607534 0.985806296045 3.886039860865 4748.429930906200 0.253678894540 0.257331379965 
    64      8    180   0.0010460992222222 17.9011211000 0.0187263489 7.7273719800 0.0080835978 25.6284930800 0.0268099467 1406067.184624 0.0222222223 10.2333333412 61179.6650264652     8.000000 0.1250000000 2.4972205661 0.980334976916 7.729889062889 2387.173714642100 0.126823938731 0.129367962703 
    64     16    180   0.0020903364444444 18.4367230000 0.0385389540 7.7362829500 0.0161714342 26.1730059500 0.0547103882 2817298.184604 0.0333333333 18.5444444538 30617.0808867138     4.000000 0.2500000000 2.4452674684 1.001163552758 15.774191438778 1169.796122967400 0.063468454573 0.063394691504 
    64     32    180   0.0041680608611111 17.8631635000 0.0744547526 7.7280863300 0.0322111342 25.5912498300 0.1066658868 5616552.123823 0.0555555555 34.8555555417 15354.8621607553     2.000000 0.5000000000 2.5008548009 0.978910357040 30.754088461871 600.004386763200 0.031830251065 0.032516001936 
    64     64    180   0.0083360927222222 17.8458567000 0.1487647162 7.7486854200 0.0645937601 25.5945421200 0.2133584763 11215266.444504 0.3499999993 66.8888887798 7677.4577889938     1.000000 1.0000000000 2.5005331097 0.979036292928 61.515875887936 299.964646876500 0.015915180899 0.016255966212 

   128      1    600   0.0001351219585000 17.8359168000 0.0024100240 7.7762760200 0.0010507456 25.6121928200 0.0034607697 182232.155014 0.0066666667 2.4266666705 947292.3677316296   128.000000 0.0078125000 4.9976197235 1.000000000000 1.000000000000 36985.992350952000 1.000000000000 1.000000000000 
   128      2    600   0.0002644197616666 17.8053028000 0.0047080739 7.6536382100 0.0020237732 25.4589410100 0.0067318471 356020.999482 0.0083333333 3.7249999864 484078.7965061093    64.000000 0.0156250000 5.0277032320 0.994016451028 1.945187858372 19014.097888673700 0.511013086345 0.514089164033 
   128      4    600   0.0005249097216666 17.9252810000 0.0094091543 7.7098238100 0.0040469615 25.6351048100 0.0134561157 706699.548192 0.0283333333 6.0216666938 243851.4561963096    32.000000 0.0312500000 4.9931529809 1.000894573540 3.888185886637 9512.403323632400 0.257419424565 0.257189349777 
   128      8    180   0.0010471602500000 18.7597068000 0.0196444193 7.6806037400 0.0080428229 26.4403105400 0.0276872422 1412413.598750 0.0611111110 10.1388888706 122235.3503200680    16.000000 0.0625000000 4.8410929140 1.032332948834 8.000313500379 4623.067877177300 0.129036561977 0.124995101747 
   128     16    180   0.0020887203888888 18.4703873000 0.0385794745 7.7006281900 0.0160844591 26.1710154900 0.0546639337 2815156.933346 0.0722222223 18.4666666846 61281.5390135086     8.000000 0.1250000000 4.8909068908 1.021818618730 15.795311186888 2341.580480013200 0.064691262276 0.063309927114 
   128     32    180   0.0041815594833333 18.0148336000 0.0753300983 7.7346223900 0.0323427836 25.7494559900 0.1076728819 5645796.639729 0.1277777777 34.7722222040 30610.5893053004     4.000000 0.2500000000 4.9709788062 1.005359290044 31.112409264281 1188.785864726100 0.032313771701 0.032141515994 
   128     64    180   0.0083427924444444 17.8621406000 0.1490201316 7.7327590500 0.0645128038 25.5948996500 0.2135329354 11247721.237845 0.2111111108 66.9888888447 15342.5847343520     2.000000 0.5000000000 5.0009963606 0.999324807129 61.700996218633 599.439143898000 0.016196250763 0.016207193744 
   128    128    180   0.0166771717777777 17.8589521000 0.2978368119 7.7232051400 0.1288012188 25.5821572400 0.4266380307 22487252.770415 0.5444444458 131.0111111606 7675.1622940383     1.000000 1.0000000000 5.0034873446 0.998827293695 123.278366730365 300.020135989000 0.008102210632 0.008111723301 

   256      1     80   0.0001397439275000 17.6534662000 0.0024669647 7.6583886500 0.0010702133 25.3118548500 0.0035371780 187658.911719 0.0124999999 2.5374999870 1831922.1777991032   256.000000 0.0039062500 10.1138380224 1.000000000000 1.000000000000 72374.078812288300 1.000000000000 1.000000000000 
   256      2     80   0.0002705321637500 18.1356362000 0.0049062729 7.9105017800 0.0021400452 26.0461379800 0.0070463181 363856.675774 0.0000000000 3.8125000018 946283.0461688494   128.000000 0.0078125000 9.8287124254 1.029009455622 1.992073355379 36331.030991829500 0.516551989837 0.501989546368 
   256      4     80   0.0005285084287500 17.7169472000 0.0093635559 7.7310446400 0.0040859223 25.4479918400 0.0134494782 710612.212565 0.0250000000 6.0750000143 484382.0572653449    64.000000 0.0156250000 10.0597328704 1.005378388537 3.802318726339 19034.195716142000 0.264411918331 0.262997416043 
   256      8     80   0.0010521634750000 17.8153489000 0.0187446594 7.5819830700 0.0079774857 25.3973319700 0.0267221451 1417110.332438 0.0250000000 10.2499999994 243308.1988518941    32.000000 0.0312500000 10.0797989451 1.003376959946 7.554650908979 9580.069242678500 0.132815794142 0.132368790039 
   256     16     80   0.0020914901250000 17.8208213000 0.0372720718 7.7681391800 0.0162469864 25.5889604800 0.0535190582 2817630.356689 0.0499999999 18.2499999937 122400.7691645209    16.000000 0.0625000000 10.0043141729 1.010947661941 15.130439580937 4783.342772372000 0.066815485203 0.066091933062 
   256     32     80   0.0041851556000000 17.8942755000 0.0748903273 7.6937350100 0.0321994782 25.5880105100 0.1070898055 5626405.669471 0.2125000000 34.7250000134 61168.5739951938     8.000000 0.1250000000 10.0046855889 1.010910131305 30.275492272321 2390.516995109400 0.033390378006 0.033030016192 
   256     64     80   0.0083652837125000 17.8235172000 0.1490987781 7.7106029100 0.0645013809 25.5341201100 0.2136001591 11276730.530877 0.1500000003 66.9499999463 30602.6679785488     4.000000 0.2500000000 10.0258007284 1.008781073584 60.387166979655 1198.500980128300 0.016705222716 0.016559809807 
   256    128     80   0.0166778321250000 17.8567735000 0.2978122707 7.7349609500 0.1290023802 25.5917344500 0.4268146509 22481650.826393 0.3749999996 131.0624999244 15349.7168025967     2.000000 0.5000000000 10.0032297732 1.011057253672 120.665301506678 599.791969262000 0.008379022312 0.008287386576 
   256    256     80   0.0333596135000000 17.8393766000 0.5951147085 7.7485678000 0.2584892270 25.5879444000 0.8536039354 44950499.613551 0.7374999973 259.0374995735 7673.9498195924     1.000000 1.0000000000 10.0047114374 1.010907519485 241.323431633855 299.904896604000 0.004189015184 0.004143816425 

   512      1     80   0.0001435637950000 17.0960668000 0.0024543762 7.4546185400 0.0010702133 24.5506853400 0.0035245896 194401.387229 0.0125000000 2.5500000104 3566358.7745085730   512.000000 0.0019531250 20.8548149637 1.000000000000 1.000000000000 145265.141282959100 1.000000000000 1.000000000000 
   512      2     80   0.0002785326250000 18.4350873000 0.0051347733 8.0325237900 0.0022373199 26.4676110900 0.0073720932 374566.649304 0.0000000000 3.7375000000 1838204.7704465500   256.000000 0.0039062500 19.3443978853 1.078080335577 2.091617498891 69451.102488847600 0.515429009438 0.478098887836 
   512      4     80   0.0005373297637500 17.4392221000 0.0093706131 7.6048341100 0.0040863037 25.0440562100 0.0134569168 725653.910717 0.0000000000 6.0875000247 952859.9280017084   128.000000 0.0078125000 20.4439726419 1.020096012114 3.818009611626 38047.348241505500 0.267180053451 0.261916574791 
   512      8     80   0.0010604802250000 17.9072891000 0.0189903260 7.7980628800 0.0082696915 25.7053519800 0.0272600175 1431104.425862 0.0250000000 10.3875000000 482800.1389653446    64.000000 0.0156250000 19.9180310932 1.047031951410 7.734238840745 18782.086288528000 0.135376211282 0.129295205461 
   512     16     80   0.0020992069875000 17.8873307000 0.0375492096 7.7855582200 0.0163434982 25.6728889200 0.0538927078 2834121.069731 0.1250000000 18.6624999852 243901.6271614806    32.000000 0.0312500000 19.9432172045 1.045709664087 15.290491824543 9500.357669972700 0.068389537503 0.065400119987 
   512     32     80   0.0041837508375000 17.7812042000 0.0743921280 7.7201615800 0.0322992325 25.5013657800 0.1066913604 5636927.657346 0.0624999999 34.6874999911 122378.2246807856    16.000000 0.0625000000 20.0773560293 1.038723173175 30.270577242013 4798.889037416300 0.034314613985 0.033035379272 
   512     64     80   0.0083584266500000 17.8288745000 0.1490213398 7.7514771900 0.0647901535 25.5803516900 0.2138114933 11245845.804917 0.1375000000 66.9999999965 61255.5474181256     8.000000 0.1250000000 20.0153620327 1.041940432038 60.662806210040 2394.632730638800 0.017175935258 0.016484565460 
   512    128     80   0.0167305881250000 17.8266187000 0.2982498151 7.7336220900 0.1293880459 25.5602407900 0.4276378610 22587409.397060 0.0624999998 131.0749996354 30602.6301152518     4.000000 0.2500000000 20.0311101998 1.041121273643 121.329832619039 1197.274719228100 0.008580917414 0.008241996039 
   512    256     80   0.0333677975000000 17.8603408000 0.5959602351 7.7291016700 0.2579030994 25.5894424700 0.8538633345 44970571.841229 0.8625000026 259.0750004545 15344.1353148945     2.000000 0.5000000000 20.0082514732 1.042310718239 242.258941248284 599.627574257700 0.004302465423 0.004127814621 
   512    512     80   0.0666898733750000 17.8722853000 1.1919004436 7.7301820800 0.5155248641 25.6024673800 1.7074253077 89920525.165435 1.8750000016 515.0999995701 7677.3275174928     1.000000 1.0000000000 19.9980725451 1.042841249661 484.432379975196 299.866704389900 0.002152707566 0.002064271591 

  1024      1     80   0.0001621701375000 17.9667219000 0.0029136658 7.8025158700 0.0012653351 25.7692377700 0.0041790008 220507.674039 0.0125000000 2.6874999951 6314356.1187398018  1024.000000 0.0009765625 39.7373026373 1.000000000000 1.000000000000 245034.648486609100 1.000000000000 1.000000000000 
  1024      2     80   0.0002970378212500 18.0154073000 0.0053512573 7.8602295700 0.0023347855 25.8756368700 0.0076860428 402375.437835 0.0000000000 3.9750000161 3447372.4446630548   512.000000 0.0019531250 39.5739051813 1.004128919176 1.839205855063 133228.506103357400 0.545957874379 0.543712927645 
