
131072 32768 244.062616822429 287.485046728971 107.338317757009 83.322429906542 19.266355140186 22.616822429906  107
131072 65536 240.896244131455 287.813145539906 107.515962441314 83.931455399061 18.109859154929 22.457746478873  213
131072 131072 240.820000000000 286.920000000000 104.880000000000 81.860000000000 14.100000000000 21.980000000000  5

262144 32768 244.511111111111 287.820370370370 106.747222222222 84.445370370370 17.776851851851 21.883333333333  108
262144 65536 246.855555555555 287.921296296296 107.428240740740 83.523611111111 17.875925925925 22.297222222222  216
262144 131072 247.140000000000 286.800000000000 96.360000000000 80.060000000000 20.180000000000 20.960000000000  5
262144 262144 245.372727272727 285.145454545454 106.836363636363 83.590909090909 20.909090909090 21.300000000000  11

524288 1 249.300000000000 288.200000000000 110.800000000000 81.800000000000 31.800000000000 19.500000000000  1



