##1.Msg_size 2.Frags  3.Inst_active_diff 4.Inst_passive_diff #5.Inst_tot_diff 6.Cache_active_diff 7.Cache_passive_diff #8.Cache_tot_diff
524288 1 -207.487768180936 53.039171611882 23.493941646679 -27.281539089244 -556184.848335379144 -203.737083020342
524288 2 -76.213859681410 63.653080061378 49.123078167886 -30.747463273227 -11253825.751804045066 -193.641481211382
524288 4 -68.477037834660 42.727664970072 33.882922864473 -42.652699915374 -20748293.350328005632 -194.536750314138
524288 8 -63.324089727880 45.507200642738 37.208935033164 -66.221756956493 -45897694.800569455939 -236.063785436517
524288 16 -79.240278172190 48.272700705206 40.006464796860 -118.273730131533 -14009781.478021641662 -328.428760702889
524288 32 -90.606438475876 51.242109312801 43.545661309893 -260.746720972826 -18060806.097346986621 -597.734075711774
524288 64 -77.328446631707 50.085559802257 42.529773715658 -266.063388837957 -35737399.298254159426 -605.853762662708
524288 128 -28.324751135661 49.915759336498 43.788886101417 -311.869699664979 -70174915.163387952018 -687.671866472804
524288 256 -5.749384099711 51.237289404337 46.130628662291 -281.289729332132 -69643334.146788671485 -626.627918797071
524288 512 18.039316803475 52.457714828356 47.930860080772 -47.033016455074 -25055913.493135211000 -209.173956289367
524288 1024 45.687763897960 57.668667787153 55.639407333541 -58.439369032539 -5414747.839150980747 -272.404423131219
524288 2048 64.593566311271 63.597210447960 63.809776418806 23.593459485799 -13463974.715487158033 -61.837623634798
524288 4096 82.165506128507 71.856953199783 74.929272338548 60.340600609846 -3340395.898912242110 19.047194352617
524288 8192 89.088729647766 79.920725979021 83.041540423860 87.904684986342 -1561918.779403098706 75.753617693123
524288 16384 93.294726396840 87.418193157437 89.645227247130 91.005496671483 -915384.987183862258 83.121636135794
524288 32768 95.105856396676 92.129123975744 93.277781505074 91.607329119448 -392384.423627203001 85.375708148588
524288 65536 96.429792608901 94.743323917300 95.441660419938 93.296355789082 -102782.976467439238 88.767757064568
524288 131072 96.896532807104 96.378155264332 96.593144347460 93.669714908234 -77981.738396870681 89.476696175937
524288 262144 97.058519664140 97.077650123333 97.069630895399 93.518848505433 -39668.851407579802 89.151174440065
524288 524288 97.256119051142 97.533186666043 97.416140750467 93.096200994534 -23079.008939791930 88.499367271695
