#1.Msg_size 2.Frags   3.Timer_active 4.Timer_passive 5.Timer_tot   6.Power_cpu_active 7.Power_cpu_passive 8.Power_cpu_tot   9.Energy_cpu_active 10.Energy_cpu_passive 11.Energy_cpu_tot   12.Power_dram_active 13.Power_dram_passive 14.Power_dram_tot   15.Energy_dram_active 16.Energy_dram_passive 17.Energy_dram_tot   18.Power_blade_active 19.Power_blade_passive 20.Power_blade_tot   21.Energy_blade_active 22.Energy_blade_passive 23.Energy_blade_tot   24.Edprod_impact 25.Edprod_ini 26.Edprod_final   27.Msg_rate_impact 28.Msg_rate_ini 29.Msg_rate_final   30.Bw_impact 31.Bw_ini 32.Bw_final
524288 1 -24.682122490402 -19.033699516457 -24.682122490402 .211628486151 1.098892243979 .666695885078 -24.418259627099 -17.725647398430 -21.356012240514 -14.051266702491 -31.695064966878 -21.656490848938 -42.201540084143 -56.761507825700 -47.700746798014 -1.487134317556 .466601917842 -.498056802852 -26.536313144999 -18.478285966366 -22.902382617068 -55.004108883529 .000061026310 .000094593288 19.796039718767 870.883268927233 698.482871106298 19.796039718767 456593647.299321530115 366206187.526578801176
524288 2 -24.234767910119 -19.067213739187 -24.234767910119 -.531468265391 1.487308203728 .507110604083 -24.895036284698 -17.296317390673 -21.417107578294 -12.728615099557 -15.504857068657 -13.967645994351 -40.048133342112 -37.528415193623 -39.062918723309 -1.332697580164 .417515372592 -.447301569262 -25.890441662984 -18.570089909599 -22.602215220071 -53.381417633248 .000061047369 .000093635320 19.507234824677 1733.866680896394 1395.637235907098 19.507234824677 454522747.196904551395 365857927.569630443877
524288 4 -24.883008065471 -19.182965643425 -24.883008065471 1.375796440937 .432863379869 .898260607846 -23.164872103643 -18.667066291155 -21.136413188134 -5.872291192711 -7.400544959112 -6.559214201870 -32.216501961983 -28.003154684369 -30.551066915830 -1.312169905943 .338512900493 -.477218104063 -26.521685333084 -18.779515993716 -23.034767961275 -52.631998725440 .000061323130 .000093598719 19.925055018234 3485.926932137443 2791.354073013611 19.925055018234 456907414.849119034192 365868361.058040123494
524288 8 -25.216896577812 -19.662954956784 -25.216896577812 1.188168184920 1.500120006018 1.346706531434 -23.729109247324 -17.867866916247 -21.075287855898 -34.932583781408 -23.721352856771 -29.750693185636 -68.958393895456 -48.048626585180 -60.435058563055 -2.001802211499 .440218589411 -.765676192509 -27.723491180352 -19.136176267911 -23.852599522368 -56.987229227661 .000061012833 .000095782356 20.138573361097 6971.992645373940 5567.932791754987 20.138573361097 456916510.007226548811 364900043.440454847993
524288 16 -26.209983880301 -20.543539775918 -26.209983880301 1.428667437545 .115943995232 .758392967785 -24.406862908826 -20.403776719252 -22.584089776385 -13.495185297617 -65.369938843815 -37.558401808521 -43.242255026258 -99.342777932324 -66.212120922432 -1.232331622502 .553436367814 -.328206804923 -27.765309395296 -19.876407929108 -24.206825332354 -61.079098280557 .000060473843 .000097410721 20.766965555719 13995.132206118501 11088.767921396425 20.766965555719 458592492.130091065660 363356747.248318082017
524288 32 -28.101107540188 -22.432228331549 -28.101107540188 -.873063861466 .989058796887 .083857556068 -29.219512022830 -21.221301578005 -25.550473926891 -36.390928154595 -34.555312423426 -35.363131680093 -74.718289555123 -64.739067305171 -69.679224867700 -1.128347017919 .494115102812 -.307069173012 -29.546532571820 -21.827272170265 -26.064399270071 -67.181622936777 .000059840421 .000100042187 21.936662437811 28033.028454554971 21883.517631383635 21.936662437811 459293138.199428648159 358539552.872589487535
524288 64 -25.443331368043 -22.278859788321 -25.443331368043 1.652912517767 1.238787465395 1.440776552650 -23.369862764200 -20.764084629832 -22.190714129324 -16.667627952896 -11.590401906297 -14.237689619068 -46.351759026583 -36.451471124350 -42.199502404960 -1.028374665697 .590720531333 -.208474885009 -26.733358728546 -21.556533484704 -24.420801779100 -56.181597735011 .000063326759 .000098904744 20.282729333290 54587.362116278745 43515.555208050606 20.282729333290 447179670.456555484893 356479428.264350565745
524288 128 -23.551138922438 -20.124205839175 -23.551138922438 1.357521646861 1.065505157269 1.208063037887 -21.873905421481 -18.844276278206 -20.502957690356 -47.990231828657 -56.170119956389 -52.283471492509 -82.843616876413 -87.598116396297 -85.056744088644 -1.041359827412 1.060568105081 .025286266793 -24.837750803117 -18.850206872114 -22.154134262398 -57.168961186278 .000066101418 .000103890912 19.061854975876 105980.100725872282 85778.327622218981 19.061854975876 434094492.573172867626 351348029.940608948952
524288 256 -20.747643864848 -17.429919289208 -20.747643864848 1.724037472477 -.748309122253 .462581822059 -18.665909269153 -18.308658145431 -18.504631318392 -14.161073407229 -36.259112778467 -23.647470369560 -37.846806391127 -60.008966258919 -46.107322924350 -.892085524795 .455223982799 -.210852863478 -21.824816150450 -16.895350189374 -19.621905580595 -46.769290519090 .000070983108 .000104181404 17.182649036258 204861.972549481576 169661.258797547645 17.182649036258 419557319.781338268902 347466258.017377578290
524288 512 -8.768984493766 -4.668232722010 -8.768984493766 3.051461834761 2.241384426328 2.640707657782 -5.449940421171 -2.322215207213 -4.045967677781 -69.846888541381 -32.559101745677 -50.783989250038 -84.740735855809 -38.747269040454 -63.904656595738 -.793143042327 .453017262039 -.163888967644 -9.631678103319 -4.194067513637 -7.202146726076 -20.600316050899 .000081701397 .000098532143 8.062026628803 385783.311422787742 354681.358126404481 8.062026628803 395042110.896934648163 363193710.721438189458
